parameter_name,Mean platelet volume
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
analysis_id,6mtp44wdtxywi77
pvalue,0.1193729
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
