parameter_name,Limb morphology
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
analysis_id,v0wl49z5sv29yre
gene_symbol,Lpgat1
pvalue,0.1508577
