parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
analysis_id,75udv75d546b132
gene_accession_id,MGI:3650254
mouse_strain,C57BL
gene_symbol,Zfp683
parameter_id,IMPC_IMM_073_001
pvalue,0.1487759
