parameter_name,Red blood cell count
gene_accession_id,MGI:103302
gene_symbol,Bmp7
pvalue,0.2211884
analysis_id,l9y711k8v089u0z
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
