analysis_id,g62104539w33ep9
gene_symbol,Ntmt2
parameter_id,IMPC_XRY_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
pvalue,0.8870051
parameter_name,Skull shape
mouse_strain,C57BL
