gene_symbol,Galk2
gene_accession_id,MGI:1917226
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1526xmv042w2115
parameter_name,Facial Morphology
pvalue,0.2937492
