parameter_id,JAX_ROT_002_001
parameter_name,Average duration
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
analysis_id,2babzm8092jufgt
mouse_strain,C57BL
pvalue,0.3266413
gene_symbol,Steap3
