parameter_name,Tremor
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
gene_symbol,Snap23
analysis_id,6rezhrrf7k7az9f
pvalue,0.2594875
