analysis_id,w778jl7p3d3m7g2
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
parameter_id,UCDLA_EYE_017_001
pvalue,0.4943143
gene_accession_id,MGI:88328
parameter_name,Lens Opacity
mouse_strain,C57BL
