parameter_name,Iron
pvalue,0.993511
mouse_strain,C57BL
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
analysis_id,o35a4n6h6765wod
parameter_id,IMPC_CBC_011_001
gene_symbol,Dhdds
