analysis_id,55nmp84509a79bc
pvalue,0.282945
gene_accession_id,MGI:2685053
gene_symbol,Ntmt2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
