parameter_name,Centre resting time
parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
pvalue,0.710194
gene_symbol,Lamb3
mouse_strain,C57BL
analysis_id,2bpszp52feh48k5
