analysis_id,1e4th6c647597qx
mouse_life_stage,Late adult
parameter_name,Lymphocyte differential count
gene_symbol,Nucks1
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
pvalue,0.9999461
gene_accession_id,MGI:1934811
