analysis_id,g793q40u67nj65f
parameter_name,Calcium
pvalue,0.4989792
mouse_strain,C57BL
gene_symbol,Fgb
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
