parameter_id,IMPC_OWT_004_001
mouse_life_stage,Late adult
pvalue,0.6223219
analysis_id,0aw32h073i76nv4
mouse_strain,C57BL
gene_accession_id,MGI:109128
parameter_name,Right kidney weight
gene_symbol,Hnf4a
