gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
pvalue,0.8895445
mouse_life_stage,E9.5
analysis_id,9o3fa5033id07ci
gene_accession_id,MGI:97838
parameter_name,center - distance
