analysis_id,l0g20528n3vqyws
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
pvalue,0.6802235
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
gene_accession_id,MGI:1336200
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
