parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:1336200
pvalue,0.1449162
mouse_life_stage,Middle aged adult
analysis_id,086964052g3rome
parameter_name,Breath rate during sleep mean
gene_symbol,Hpca
mouse_strain,C57BL
