parameter_name,Hindlimb digit - size
mouse_strain,C57BL
pvalue,0.1794615
analysis_id,4672oau64s7a55k
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Early adult
