analysis_id,n76m3jnd06cl24o
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,PP1 + pulse startle magnitude
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_id,ESLIM_011_001_007
pvalue,0.2387792
