analysis_id,564q4892nv1e1f1
mouse_strain,C57BL
gene_symbol,Rhbg
parameter_name,Caudal processes
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_067_001
pvalue,0.9443812
gene_accession_id,MGI:1927379
