parameter_id,IMPC_EYE_026_001
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1t9ipqt63l7f38t
pvalue,0.5939507
parameter_name,Retinal Blood Vessels Pattern
