analysis_id,l200w588t6fx65q
mouse_strain,C57BL
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
parameter_id,M-G-P_016_001_005
pvalue,0.197162
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
