analysis_id,99rj470910d428g
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.1663395
parameter_name,IgD+ mature B cell percentage
gene_accession_id,MGI:1918025
parameter_id,MGP_PBI_015_001
gene_symbol,Zmynd8
