analysis_id,5h3305351u4t308
gene_symbol,Dcaf12
parameter_name,KLRG1+ Treg cells - % of Treg
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
pvalue,0.2041923
mouse_strain,C57BL
parameter_id,MGP_MLN_011_001
