mouse_strain,C57BL
analysis_id,42xt40xq7787p82
mouse_life_stage,Early adult
pvalue,0.1319206
parameter_name,Plasmacytoid DC - % of DC
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:2673000
gene_symbol,Trim46
