analysis_id,c8ny846rdb5545x
gene_accession_id,MGI:95576
pvalue,0.88255
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
gene_symbol,Fpgs
parameter_name,Neural tube closure
mouse_life_stage,Early adult
