analysis_id,3x391h95orr2gat
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
pvalue,0.6369695
parameter_name,Cholesterol ratio
gene_accession_id,MGI:2674093
gene_symbol,Psd4
mouse_strain,C57BL
