analysis_id,blx873uo6g0277w
gene_accession_id,MGI:1919949
gene_symbol,Lime1
parameter_id,M-G-P_026_001_004
mouse_strain,C57BL
parameter_name,Coat colouration
mouse_life_stage,Early adult
pvalue,0.8623675
