parameter_name,Pericardium Morphology
analysis_id,226728yo11otex6
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
pvalue,0.8641921
gene_symbol,Bcs1l
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
