parameter_name,Retina (combined)
analysis_id,595u6toc0w490dl
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
pvalue,0.656711
mouse_life_stage,E12.5
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
