parameter_id,IMPC_ABR_002_001
analysis_id,ybf470q4u41grb5
gene_symbol,Ahcy
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
parameter_name,Click-evoked ABR threshold
pvalue,0.6141585
