parameter_name,BMC/Body weight
mouse_life_stage,Early adult
gene_symbol,Casq1
pvalue,0.09032525
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1309468
analysis_id,98u9zhxny427qvj
mouse_strain,C57BL
