mouse_strain,129SV
analysis_id,226knif6jhp88oz
parameter_name,BMC/Body weight
parameter_id,JAXLA_DXA_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
pvalue,0.6004932
gene_symbol,Cds2
