parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1346344
parameter_id,IMPC_IMM_067_001
mouse_strain,B6J
mouse_life_stage,Early adult
gene_symbol,Nr0b2
analysis_id,uet693lr362qgq3
pvalue,0.2395461
