analysis_id,rbcl0433au6ra56
parameter_id,HRWLLA_OFD_011_001
pvalue,0.3470508
gene_symbol,Pex19
mouse_life_stage,Early adult
parameter_name,Periphery resting time
mouse_strain,C50BL
gene_accession_id,MGI:1334458
