parameter_name,End-Systolic Diameter
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
pvalue,0.9272102
analysis_id,d37nd17mdtvx8b1
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
