parameter_id,ESLIM_001_001_117
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9502308
gene_symbol,Rap2b
analysis_id,cf7v6lq27e5ot32
parameter_name,eye size
gene_accession_id,MGI:1921262
