analysis_id,4kat458fv6b41d8
pvalue,0.9599355
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:103302
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,PP1 startle magnitude
gene_symbol,Bmp7
