gene_symbol,AU040320
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,99rnvyfb0yc4x23
parameter_name,Weight
parameter_id,M-G-P_005_001_001
pvalue,0.9626937
gene_accession_id,MGI:2140475
