analysis_id,m24tjh5006y9di5
parameter_name,Weight
mouse_strain,C58BL
mouse_life_stage,E9.5
parameter_id,M-G-P_005_001_001
pvalue,0.2964631
gene_accession_id,MGI:97838
gene_symbol,Eprs1
