gene_symbol,Cdin1
analysis_id,e4k089b1k5xxs8j
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,cDCs CD11b Type
pvalue,0.8654933
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:3026886
