parameter_name,Cholesterol ratio
gene_symbol,Orc2
mouse_strain,C57BL
pvalue,0.3918887
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
parameter_id,IMPC_CBC_058_001
analysis_id,2979puvr6p993hu
