mouse_strain,B6J
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_name,Mean cell volume
pvalue,0.6283336
mouse_life_stage,Early adult
analysis_id,66t0790fb16qxz2
parameter_id,ESLIM_016_001_005
