parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
pvalue,0.6043566
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
mouse_strain,C57BL
analysis_id,61nn3n91n8vcbzr
parameter_id,MGP_PBI_018_001
