analysis_id,4iq0lf5078pshy1
pvalue,0.3468279
mouse_strain,C57BL
parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
gene_symbol,Nucks1
