gene_symbol,Lamb3
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
pvalue,0.6957937
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:99915
analysis_id,v73cm55u8j6d6r5
mouse_strain,C57BL
