parameter_id,ESLIM_007_001_011
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8483115
analysis_id,6wy501k491okmui
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
parameter_name,Centre resting time
