gene_symbol,Sla2
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_accession_id,MGI:1925049
analysis_id,cft7tmmwta827nz
mouse_life_stage,Early adult
pvalue,0.6119578
