analysis_id,6343tp7gl2w5y86
pvalue,0.3946996
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
gene_symbol,Eprs1
