parameter_name,Tibia length
analysis_id,85kf44l69kyv4b5
gene_symbol,Tiprl
parameter_id,TCPLA_XRY_033_001
pvalue,0.7440601
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,E12.5
