analysis_id,e6301n1um7cg3d3
parameter_id,ESLIM_016_001_005
pvalue,0.2962776
gene_symbol,Sla2
parameter_name,Mean cell volume
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1925049
