analysis_id,q4kzp324f3fgoh8
pvalue,0.8773931
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:1914061
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
gene_symbol,Duoxa2
