analysis_id,z31k09126d8kzpb
gene_accession_id,MGI:103302
parameter_id,ESLIM_008_001_017
pvalue,0.08229255
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bmp7
parameter_name,Limb grasping
