parameter_id,IMPC_GEO_009_002
parameter_name,Hemorrhage
pvalue,0.3551961
mouse_strain,C53BL
mouse_life_stage,Late adult
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
analysis_id,62uen89f2qdt803
