analysis_id,q3vf01cy3z6d1ln
mouse_strain,C57BL
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
parameter_name,Narrow eye opening
gene_symbol,Cldn19
pvalue,0.07476168
