gene_symbol,Tiprl
pvalue,0.2000788
analysis_id,bf6b4gyws291584
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
parameter_id,JAX_SLW_014_001
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
