gene_symbol,Tbl1xr1
parameter_id,MGP_MLN_031_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
analysis_id,5jjm4v5yy5v789d
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
pvalue,0.2410122
