gene_symbol,Kcng1
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
mouse_strain,C57BL
analysis_id,bq9330kd4l2xeee
parameter_id,ESLIM_001_001_117
parameter_name,eye size
pvalue,0.6381106
