analysis_id,i3e29642hg0bhb2
parameter_id,IMPC_IMM_069_001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
pvalue,0.4235282
