gene_symbol,Morn5
parameter_id,JAX_LDT_004_001
parameter_name,Dark side time spent
pvalue,0.4398966
analysis_id,lx57ne342040he0
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
mouse_strain,C57BL
