analysis_id,kqqd50i9a0l8373
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_007_001
pvalue,0.0858549
gene_accession_id,MGI:1916222
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_symbol,Tatdn3
