analysis_id,98m1todf22jos36
pvalue,0.6804369
gene_symbol,Slc30a4
parameter_id,MGP_IMM_100_001
gene_accession_id,MGI:1345282
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Late adult
mouse_strain,C57BL
