mouse_strain,129SV
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_name,Response amplitude - S
pvalue,0.6552711
gene_accession_id,MGI:2684980
parameter_id,IMPC_ACS_006_001
analysis_id,5o037s81snqx7xm
